A3AI6;LIC PRO MDOaudit (Rabat);LIC PRO MDO op Audit et Contrôle de Gestion des PMO (Rabat);3;IUTB
A3AI7;LIC PRO MDOaudit (Agadir);LIC PRO MDO op Audit et Contrôle de Gestion des PMO (Agadir);3;IUTB
A3AI8;LIC PRO AUDIT (Laayoune);LIC PRO Managt des organisations sp Audit (Layoun);3;IUTB
A3AIS;LIC PRO TAIS sp IWD;LIC PRO Techniques et Activités de l'Image et du son sp IWD;3;IUTB
A3AIS2;LIC PRO TAIS sp IWD (AP);LIC PRO Techniques et Activités de l'Image et du son sp IWD (Apprentissage);3;IUTB
A3AN;LIC PRO INSO opANIMATION;LIC PRO INTERVENTION SOCIALE op Animation Pro;3;IUTB
A3ANP;LIC PRO IS sp ANIMATION;LIC PRO  Intervention Sociale op Animation Professionnelle;3;IUTB
A3ANP2;LIC PRO IS - ANIMAT (AP);LIC PRO INTERV SOCIALE - ANIMATION PROFESSIONNELLE  (Apprentissage);3;IUTB
A3ANP3;LIC PRO IS - ANIMAT  (FC);LIC PRO INTERV SOCIALE - ANIMATION PROFESSIONNELLE  (FC);3;IUTB
A3AS;LIC PRO INSO op AS;LIC PRO Intervention Sociale op ASSISTANT SOCIAL;3;IUTB
A3ASO;LIC PRO ABFSO;LIC PRO Assurance Banque Finance : supports opérationnels;3;IUTB
A3ASO2;LIC PRO ABFSO (AP);LIC PRO Assurance banque finance : supports opérationnels (Apprentissage);3;IUTB
A3AST;LIC PRO IS Travail Social;LIC PRO Intervention Sociale sp TRAVAIL SOCIAL et CONDUITE DE PROJET;3;IUTB
A3AST3;LIC PRO IS - TSCP (FC);LIC PRO INTERV SOCIALE sp TRAVAIL SOCIAL CONDUITE PRO (FC);3;IUTB
A3AST4;LIC PRO IS TS(CAFERUIS);LIC PRO INTERV SOCIALE - TRAVAIL SOCIAL (CAFERUIS);3;IUTB
A3CG;LIC PRO ATC op GRAPHIQUE;LIC PRO ACTIVITES ET TECHNIQUES DE COMMUNICATION op COMMUNICATION GRAPHIQUE ET ILLUSTRATION;3;IUTB
A3CG2;LIC PRO ATC op GRAPH(AP);LIC PRO ACTIVITES ET TECHNIQUES DE COMMUNICATION op COMMUNICATION GRAPHIQUE ET ILLUSTRATION (Apprentissage);3;IUTB
A3CIB;LIC PRO MNW paCIB;LIC PRO Métiers du numérique : conception rédaction et réalisation web pa Concepteur et intégrateur web et mobiles;3;IUTB
A3CIB2;LIC PRO MNW paCIB (AP);LIC PRO MNW paConcepteur et intégrateur web et mobiles (Apprentissage);3;IUTB
A3CIB4;LIC PRO MNW paCIB(Rabat);LIC PRO MNW paConcept et intégrateur web et mobiles (Rabat);3;IUTB
A3CIW;LIC PRO ATC op CIWM;LIC PRO ATC op Concepteur Integrateur Web et Multimédia;3;IUTB
A3CIW2;LIC PRO ATC op CIWM (AP);LIC PRO ATC op CIW (Apprentissage);3;IUTB
A3CIW3;LIC PRO ATC op CIW (FC);LIC PRO ATC op Concepteur Integrateur Web (FC);3;IUTB
A3CIW4;LIC PRO ATC - CIW (Rabat);LIC PRO ATC - Concepteur Intégrateur Web et Multiméd (Rabat);3;IUTB
A3CJV;LIC PRO TAIS - Jeux vidéo;LIC PRO TAIS sp Concepteur en niv et perf Jeux vidéo;3;IUTB
A3CRP;LIC PRO ABF paMCRPC;LIC PRO Assurance Banque Finance pacompta: respportclient;3;IUTB
A3EXP;LIC PRO MGCRP;LIC PRO Métiers gestion compta :  responsable portefeuille clients en cabinet d'expertise;3;IUTB
A3GCN2;LIC PRO MNW paGCN (AP);LIC PRO Métiers du numérique : conception rédaction et réalisation web paGest contenus numériques & stratégies web(AP);3;IUTB
A3GES;LIC PRO Contrôle gestion;LIC PRO MGC: contrôle gestion;3;IUTB
A3ISA;LIC PRO ISA;LIC PRO  Intervention sociale : accompagnement social;3;IUTB
A3IWD;LIC PRO TAIS sp IWD;LIC PRO TAIS sp Infographiste web designer;3;IUTB
A3IWD2;LIC PRO TAIS sp IWD (AP);LIC PRO TAIS sp Infographiste Web Designer (Apprentissage);3;IUTB
A3IWD3;LIC PRO TAIS sp IWD (FC);LIC PRO TAIS sp Infographiste web designer (FC);3;IUTB
A3LGD;LIC PRO TSI paLGD;LIC PRO Métiers du jeu vidéo paLevel designer et game designer;3;IUTB
A3MAS;LIC PRO MASEC;LIC PRO Métiers animation sociale socio-educ socio-culturel;3;IUTB
A3MAS2;LIC PRO MASEC (AP);LIC PRO Métiers animation sociale socio-educ socio-culturel (Apprentissage);3;IUTB
A3MAS3;LIC PRO MASEC (FC);LIC PRO Métiers animation sociale socio-educ socio-culturel (FC);3;IUTB
